model,acf_mse,acf_mae,acf_corr,acf_lag0_error,acf_pred_total_variation,acf_true_total_variation,ccf_mse,ccf_mae,ccf_corr,ccf_lag0_error,ccf_pred_total_variation,ccf_true_total_variation,fcf_mse,fcf_mae,fcf_corr,fcf_lag0_error,fcf_pred_total_variation,fcf_true_total_variation,overall_mse,overall_mae,overall_relative_error,overall_corr,lag0_error,out_of_range_fraction,pred_total_variation,true_total_variation,mse,mae,relative_error,curve_correlation
mean_curve,0.11709124594926834,0.31291940808296204,0.7595523477991422,0.0,0.5115885138511658,2.421801805496216,0.13816998898983002,0.3542823791503906,0.7898393227656683,0.0,1.823440432548523,3.993579387664795,0.06268908828496933,0.20388059318065643,0.9545537328322728,0.0,0.42706677317619324,0.45187580585479736,0.10598347336053848,0.29036080837249756,0.47912525355871055,0.838049920241038,0.0,0.0,0.9206985831260681,2.289085865020752,0.10598347336053848,0.29036080837249756,0.47912525355871055,0.838049920241038
channel_type_mean,0.03423069417476654,0.13366955518722534,0.7678135146697362,0.0,0.5050271153450012,2.421801805496216,0.011546536348760128,0.07895411550998688,0.8355665100812912,0.0,2.0180697441101074,3.993579387664795,0.02863798849284649,0.1268390566110611,0.9554420678218206,0.0,0.42062342166900635,0.45187580585479736,0.02480507455766201,0.11315424740314484,0.23179296233612226,0.847950412184,0.0,0.0,0.9812401533126831,2.289085865020752,0.02480507455766201,0.11315424740314484,0.23179296233612226,0.847950412184
ridge,0.01905197836458683,0.09204772859811783,0.7274014978426664,0.0,0.632412314414978,2.421801805496216,0.0016285540768876672,0.03154514729976654,0.8088826068540415,0.0,2.4517931938171387,3.993579387664795,0.009563274681568146,0.0758369117975235,0.877619153592425,0.0,0.4544704854488373,0.45187580585479736,0.010081269778311253,0.06647657603025436,0.14777046276768838,0.8159920404409058,0.0,0.08377430555555555,1.1795586347579956,2.289085865020752,0.010081269778311253,0.06647657603025436,0.14777046276768838,0.8159920404409058
random_forest,0.002522581827938306,0.0332932650355438,0.8665416081770255,0.0,1.3147370942407721,2.421801805496216,0.0009457480797075967,0.019774058318863603,0.9050238942690427,0.0,2.5945593853307094,3.993579387664795,0.0009482410259330303,0.01929320762368499,0.9931492892567557,0.0,0.42844119270835823,0.45187580585479736,0.0014721903111929774,0.024120176992697463,0.05646926237948784,0.9597817763648345,0.0,0.0,1.4459125574266134,2.289085865020752,0.0014721903111929774,0.024120176992697463,0.05646926237948784,0.9597817763648345
knn,0.011332745663821697,0.06412427127361298,0.834354450503985,0.0,1.1345311403274536,2.421801805496216,0.0013920734636485577,0.02696145884692669,0.9460461732546488,0.0,2.958542585372925,3.993579387664795,0.0021228822879493237,0.030246637761592865,0.9930791335105896,0.0,0.42709049582481384,0.45187580585479736,0.004949233494699001,0.04044412449002266,0.1035377744251762,0.9469399139285087,0.0,0.0,1.5067214965820312,2.289085865020752,0.004949233494699001,0.04044412449002266,0.1035377744251762,0.9469399139285087
