scenario,model,acf_mse,acf_mae,acf_corr,acf_lag0_error,acf_pred_total_variation,acf_true_total_variation,ccf_mse,ccf_mae,ccf_corr,ccf_lag0_error,ccf_pred_total_variation,ccf_true_total_variation,fcf_mse,fcf_mae,fcf_corr,fcf_lag0_error,fcf_pred_total_variation,fcf_true_total_variation,overall_mse,overall_mae,overall_relative_error,overall_corr,lag0_error,out_of_range_fraction,pred_total_variation,true_total_variation,mse,mae,relative_error,curve_correlation
velocity_ood,mlp,0.002624578308314085,0.035124052315950394,0.789803240314126,0.002431784523651004,0.878934383392334,3.239590644836426,0.0007180290995165706,0.01897040195763111,0.9277439461350441,0.0024316711351275444,2.6385581493377686,4.006495952606201,0.0010406544897705317,0.02138407714664936,0.9915708520114422,0.0024371910840272903,0.41186654567718506,0.4501264691352844,0.0014610870275646448,0.025159509852528572,0.057750192059238016,0.9592771097719669,0.002433548914268613,0.0,1.309786319732666,2.5654044151306152,0.0014610870275646448,0.025159509852528572,0.057750192059238016,0.9592771097719669
velocity_ood,resmlp,0.0020887793507426977,0.030488135293126106,0.8481010590195656,0.0017545956652611494,1.0000910758972168,3.239590644836426,0.0006879818974994123,0.018123812973499298,0.9458964557051659,0.0017434675246477127,2.766031503677368,4.006495952606201,0.0009041049634106457,0.019733447581529617,0.9930156603157521,0.0017648183275014162,0.4122426211833954,0.4501264691352844,0.0012269549770280719,0.022781796753406525,0.052921183277425614,0.9720502860248089,0.001754293916746974,0.0,1.3927884101867676,2.5654044151306152,0.0012269549770280719,0.022781796753406525,0.052921183277425614,0.9720502860248089
velocity_ood,ridge,0.026889827102422714,0.13472601771354675,0.5873734510546201,0.0,1.0247986316680908,3.239590644836426,0.0016455795848742127,0.03195369243621826,0.8154599348120392,0.0,2.5004398822784424,4.006495952606201,0.01008482277393341,0.07811199873685837,0.8887370046637952,0.0,0.45681896805763245,0.4501264691352844,0.012873410247266293,0.0815972313284874,0.17142028239950807,0.7512359387007455,0.0,0.09587369791666667,1.3273524045944214,2.5654044151306152,0.012873410247266293,0.0815972313284874,0.17142028239950807,0.7512359387007455
velocity_ood,random_forest,0.00498468093445442,0.040571386245280124,0.7675230386597905,0.0,1.788159650622164,3.239590644836426,0.0008603190102400665,0.01902293873037959,0.9177357102541014,0.0,2.662970643601466,4.006495952606201,0.0007634404909497391,0.017717927652173265,0.9940973127137029,0.0,0.4272984582117806,0.4501264691352844,0.002202813478548075,0.02577075087594433,0.07090951379964086,0.9570660326436341,0.0,0.0,1.6261429174784698,2.5654044151306152,0.002202813478548075,0.02577075087594433,0.07090951379964086,0.9570660326436341
velocity_ood,knn,0.005210850853472948,0.04864353686571121,0.8049092415571213,0.0,1.6664483547210693,3.239590644836426,0.001987823750823736,0.03267112001776695,0.9294871753305197,0.0,2.863290548324585,4.006495952606201,0.003606280777603388,0.0408288910984993,0.9896922981739045,0.0,0.4281821548938751,0.4501264691352844,0.0036016518715769053,0.04071452096104622,0.09067052880936592,0.9576877063214779,0.0,0.0,1.6526403427124023,2.5654044151306152,0.0036016518715769053,0.04071452096104622,0.09067052880936592,0.9576877063214779
k_factor_ood,mlp,8.197664283216e-05,0.008181720972061157,0.7172863426357508,0.0014422633685171604,0.08147639781236649,0.07569292932748795,6.317166844382882e-05,0.007215174380689859,0.8529013682603837,0.001443476416170597,0.274446964263916,0.18883803486824036,4.489850107347593e-05,0.005841675214469433,0.9791150515787304,0.0014425568515434861,0.021092494949698448,0.014880695380270481,6.334893987514079e-05,0.007079524453729391,0.008061139951468049,0.8972057653367519,0.0014427655842155218,0.0,0.12567195296287537,0.0931372195482254,6.334893987514079e-05,0.007079524453729391,0.008061139951468049,0.8972057653367519
k_factor_ood,resmlp,2.5343408196931705e-05,0.004250900354236364,0.7635583522766829,0.0002802986418828368,0.07816796749830246,0.07569292932748795,1.0814036613737699e-05,0.0028444884810596704,0.8701211098134518,0.00027658630278892815,0.21574154496192932,0.18883803486824036,1.0807171747728717e-05,0.0026149647310376167,0.9826592975705862,0.0002850547316484153,0.01900286041200161,0.014880695380270481,1.565487400512211e-05,0.003236783668398857,0.004007296403354207,0.9050828421413899,0.0002806465490721166,0.0,0.10430412739515305,0.0931372195482254,1.565487400512211e-05,0.003236783668398857,0.004007296403354207,0.9050828421413899
k_factor_ood,ridge,0.02347794733941555,0.13470284640789032,-0.22448413928011723,0.0,0.37289923429489136,0.07569292932748795,0.02244619093835354,0.1484334021806717,-0.3569974272698164,0.0,1.4560672044754028,0.18883803486824036,0.02241075411438942,0.11935273557901382,-0.5286731881593878,0.0,0.18902942538261414,0.014880695380270481,0.02277829684317112,0.1341629922389984,0.1528577086749276,-0.11211976183568186,0.0,0.8631145833333334,0.6726652979850769,0.0931372195482254,0.02277829684317112,0.1341629922389984,0.1528577086749276,-0.11211976183568186
k_factor_ood,random_forest,0.00021142113049291695,0.013990812037057862,0.770429032897936,0.0,0.06289251652390267,0.07569292932748795,0.0002865118678541562,0.01677273218145148,0.8490759627032338,0.0,0.25883982195681837,0.18883803486824036,0.00013584832566215495,0.010188216731877451,0.9837768087273524,0.0,0.028337498299539084,0.014880695380270481,0.00021126044133640935,0.013650586983462257,0.014720951100364433,0.9193033973830395,0.0,0.0,0.11668994559342002,0.0931372195482254,0.00021126044133640935,0.013650586983462257,0.014720951100364433,0.9193033973830395
k_factor_ood,knn,0.0005524606676772237,0.022160518914461136,0.7777350119873881,0.0,0.09723205864429474,0.07569292932748795,0.0007146334974095225,0.026011859998106956,0.9223448914885521,0.0,0.4393314719200134,0.18883803486824036,0.0003617987094912678,0.01633717678487301,0.983271499056369,0.0,0.036995530128479004,0.014880695380270481,0.0005429642042145133,0.021503183990716934,0.023600015747447713,0.915976204097271,0.0,0.0,0.1911863535642624,0.0931372195482254,0.0005429642042145133,0.021503183990716934,0.023600015747447713,0.915976204097271
