num_realizations,label_mse_vs_reference,label_variance,seconds_per_label
1,0.04629269242286682,0.0250242967158556,0.0027070666668199315
2,0.018489906564354897,0.010106134228408337,0.005365766667334053
4,0.008218511939048767,0.004702175036072731,0.010662833334208699
8,0.0036078908015042543,0.003042987547814846,0.021304533333022846
16,0.0017466027056798339,0.0023540628608316183,0.042329599999599545
32,0.0009949608938768506,0.0012298895744606853,0.08477263333406881
64,0.00022896041627973318,0.0004668735491577536,0.1695518666662489
100,0.0001755306002451107,0.00022839165467303246,0.2674523333334946
200,0.00010156367352465168,0.0002614494296722114,0.5300341999997423
