epoch,train_loss,val_loss
1,0.02312686884437095,0.006723095662891865
2,0.0044312818674370645,0.0034184223040938377
3,0.003311723284423351,0.0031672329641878605
4,0.002866692231460051,0.002647719345986843
5,0.0026181496457535437,0.0027700201608240604
6,0.0025353644011457534,0.002405045321211219
7,0.002399619976693595,0.002600146224722266
8,0.002290142874699086,0.0023162083234637976
9,0.002234747948717665,0.00238119182176888
10,0.0022019048866985195,0.002274411264806986
11,0.0021096416452730245,0.002174737863242626
12,0.002224890878212384,0.0021430824417620897
13,0.002140454527794976,0.00208795303478837
14,0.0020606121397577226,0.002188244368880987
15,0.002022388098041781,0.0020114050712436438
16,0.0020309075723740867,0.001871759188361466
17,0.0019963163607330486,0.0022402324248105288
18,0.00193555631717159,0.0026117172092199326
19,0.0020718772990883073,0.001974285114556551
20,0.0018462355142797936,0.0027052878867834806
21,0.002063183847349137,0.0020678590517491102
22,0.0018769572213800116,0.0019212294137105346
23,0.0017427144085311076,0.0018307581776753068
24,0.001717516176656566,0.0018986036302521825
25,0.0018548259151760828,0.0018168612150475383
26,0.0017817758923311803,0.0016763590974733233
27,0.001780764201909981,0.001801005913875997
28,0.0018780311992899939,0.0018952545942738652
29,0.0017182342390614476,0.0021263151429593563
30,0.0019734566110524944,0.001665004063397646
31,0.0016248541153882714,0.0015781736001372337
32,0.0017260866366665471,0.001752733369357884
33,0.0017736846083690498,0.0016263541765511036
34,0.0018919848318381066,0.0019785352051258087
35,0.001819803041871637,0.0017294890712946653
36,0.0016407086249356244,0.0018580853939056396
37,0.0016848590584810485,0.0017806775867938995
38,0.0017831503328951922,0.0019140372751280665
39,0.0016240748047659343,0.0017729155952110887
40,0.001554641307500953,0.0016835572896525264
41,0.0016780893307771873,0.0015881925355643034
42,0.0016484060388227756,0.0016992388991639018
43,0.001556641086724333,0.0015264564426615834
44,0.0015946601538664915,0.0016643269918859005
45,0.0015890195373107086,0.0015829369658604264
46,0.0015164703046056357,0.0015972228720784187
47,0.001526466842783107,0.0015330854803323746
48,0.0015731150824153288,0.0016674218932166696
49,0.0015741722457195547,0.001566530903801322
50,0.0015181268893436275,0.0014573525404557586
51,0.001630963729059493,0.0017521865665912628
52,0.001481051535599611,0.0016205362044274807
53,0.0014778501915068112,0.0015228531556203961
54,0.0015742666765370152,0.0015623794170096517
55,0.001440986311486499,0.00145517208147794
56,0.0014673676235939968,0.0014264406636357307
57,0.0014821976507929239,0.0016082811634987593
58,0.0015867891774343497,0.0014537217793986201
59,0.001497697787867351,0.0015448660124093294
60,0.0014607270110652529,0.0014609347563236952
61,0.0014531792543659157,0.0016665293369442225
62,0.0014461256553080272,0.001373492763377726
63,0.001606789644045586,0.0015481739537790418
64,0.0014970876276493073,0.0016893568681553006
65,0.0014502266411330889,0.0015222406946122646
66,0.001435441704763269,0.0015337541699409485
67,0.0014936414123936134,0.0016287189209833741
68,0.001468912018886344,0.0013969466090202332
69,0.0014466405782679265,0.0016915106680244207
70,0.0014544216471470215,0.001454534474760294
71,0.0016423257893290032,0.0015337452059611678
72,0.001368326234461909,0.0014168284833431244
73,0.0014103562295944853,0.0015088483924046159
74,0.0014127628062851727,0.0014305241638794541
75,0.00139427766288546,0.00144541438203305
76,0.0013917681972750208,0.0013987214770168066
77,0.0013570302367125722,0.0014483617851510644
78,0.0013631638091861863,0.0014568147016689181
79,0.0014001387520693243,0.0014771485002711415
80,0.0014496515928344293,0.0016606589779257774
81,0.001391011847458272,0.0015817579114809632
82,0.0013609493357679722,0.0014728015521541238
83,0.0013547763016752222,0.0012927292846143246
84,0.0013654496520757674,0.001688996097072959
85,0.0014020005039955404,0.001704418915323913
86,0.0014731023465918208,0.001411402365192771
87,0.0013998379539275033,0.0013476479798555374
88,0.0014339804924516516,0.001385931158438325
89,0.0014425098208117892,0.001334527158178389
90,0.001357924899573184,0.0014809136046096683
91,0.0013920819958333265,0.001344763208180666
92,0.0014309098039203408,0.001316279056482017
93,0.001342782366555184,0.0013090567663311958
94,0.001424738013354892,0.0015302629908546805
95,0.0013908086344599723,0.0014261932810768485
96,0.0013667286955751478,0.0013004866195842624
97,0.0013016080176881091,0.001451566582545638
98,0.0013476396693890406,0.001319750677794218
99,0.0013574369595682418,0.0013521898072212934
100,0.0012750151662409982,0.0013569716829806566
